name,description,directorName,category,imdbrating,releaseDate,language,country,actorNames,tags
Inception,A mind-bending dream heist,Christopher Nolan,SciFi,8.8,2010-07-16,English,USA,Leonardo DiCaprio|Joseph Gordon-Levitt,dream|mind-bending|blockbuster
The Godfather,An organized crime dynasty's aging patriarch transfers control,Francis Ford Coppola,Crime,9.2,1972-03-24,English,USA,Marlon Brando|Al Pacino,mafia|classic|crime
Spirited Away,A girl enters the world of spirits,Hayao Miyazaki,Animation,8.6,2001-07-20,Japanese,Japan,Rumi Hiiragi|Miyu Irino,anime|fantasy|spiritual
The Dark Knight,Batman faces off against the Joker,Christopher Nolan,Action,9.0,2008-07-18,English,USA,Christian Bale|Heath Ledger,superhero|joker|dc
Parasite,A poor family infiltrates a wealthy household,Bong Joon-ho,Thriller,8.6,2019-05-30,Korean,South Korea,Song Kang-ho|Choi Woo-shik,class|satire|thriller
La La Land,A jazz musician and aspiring actress fall in love,Damien Chazelle,Musical,8.0,2016-12-09,English,USA,Ryan Gosling|Emma Stone,romance|music|la
Schindler's List,A businessman saves Jews during WWII,Steven Spielberg,History,9.0,1993-12-15,English,USA,Liam Neeson|Ben Kingsley,holocaust|true-story|war
The Conjuring,Paranormal investigators help a haunted family,James Wan,Horror,7.5,2013-07-19,English,USA,Vera Farmiga|Patrick Wilson,haunting|ghost|based-on-true-story
Interstellar,A team travels through a wormhole to save humanity,Christopher Nolan,SciFi,8.6,2014-11-07,English,USA,Matthew McConaughey|Anne Hathaway,space|time|future
Coco,A boy enters the Land of the Dead to find his ancestor,Lee Unkrich,Family,8.4,2017-10-20,English,USA,Anthony Gonzalez|Gael García Bernal,music|afterlife|pixar
Baahubali: The Beginning,Epic action drama about a lost prince,SS Rajamouli,Action,8.0,2015-07-10,Telugu,India,Prabhas|Rana Daggubati|Anushka Shetty,epic|kingdom|war
Pushpa: The Rise,A red sandalwood smuggler rises in the criminal world,Sukumar,Action,7.6,2021-12-17,Telugu,India,Allu Arjun|Fahadh Faasil|Rashmika Mandanna,smuggling|forest|rise
RRR,Fictional story of two revolutionaries fighting the British,SS Rajamouli,Action,8.5,2022-03-25,Telugu,India,Ram Charan|N. T. Rama Rao Jr.|Alia Bhatt,freedom|friendship|rebellion
Arjun Reddy,A brilliant surgeon with anger management issues,Sandeep Reddy Vanga,Drama,8.0,2017-08-25,Telugu,India,Vijay Deverakonda|Shalini Pandey,romance|self-destruction|college
Mahanati,Biopic of legendary actress Savitri,Nag Ashwin,Biography,8.5,2018-05-09,Telugu,India,Keerthy Suresh|Dulquer Salmaan|Samantha Akkineni,biopic|cinema|classic
Eega,A man reincarnates as a fly to take revenge,SS Rajamouli,Fantasy,7.7,2012-07-06,Telugu,India,Nani|Sudeep|Samantha Akkineni,revenge|fly|fantasy
Jersey,A failed cricketer makes a comeback for his son,Gowtam Tinnanuri,Sport,8.5,2019-04-19,Telugu,India,Nani|Shraddha Srinath|Sathyaraj,cricket|father-son|comeback
Goodachari,A young man joins RAW to uncover his father’s past,Sashi Kiran Tikka,Thriller,7.9,2018-08-03,Telugu,India,Adivi Sesh|Sobhita Dhulipala|Jagapathi Babu,spy|action|mystery
Ala Vaikunthapurramuloo,A man discovers his true heritage,Trivikram Srinivas,Comedy,7.3,2020-01-12,Telugu,India,Allu Arjun|Pooja Hegde|Murali Sharma,family|comedy|identity
Sita Ramam,A soldier and a princess fall in love in 1960s Hamsafar,Hanu Raghavapudi,Romance,8.5,2022-08-05,Telugu,India,Dulquer Salmaan|Mrunal Thakur|Rashmika Mandanna,love|letters|war
Vikram,An ex-black ops agent fights a drug syndicate,Lokesh Kanagaraj,Action,8.3,2022-06-03,Tamil,India,Kamal Haasan|Fahadh Faasil|Vijay Sethupathi,action|revenge|cartel
Master,A professor is sent to a juvenile home to reform the kids,Lokesh Kanagaraj,Action,7.8,2021-01-13,Tamil,India,Vijay|Vijay Sethupathi|Malavika Mohanan,action|drama|corruption
